sim	Observed	PPS	pval
1	3	5	0.875411155964504
2	4	6	0.848876443520073
3	7	10	0.869984726823227
4	7	4	0.110632289031905
5	10	6	0.0838620437646487
6	10	8	0.283326074085345
7	6	3	0.0838876908414425
8	8	6	0.255978913724598
9	3	9	0.993783539244907
10	8	5	0.133319433354692
11	8	5	0.133319433354692
12	10	8	0.283326074085345
13	7	8	0.686723475399702
14	7	10	0.869984726823227
15	9	10	0.66729298413187
16	5	3	0.184711543839842
17	5	4	0.371163062214196
18	9	10	0.66729298413187
19	3	10	0.997239675909251
20	6	8	0.808873897746952
21	9	10	0.66729298413187
22	5	1	0.00365754781718397
23	3	5	0.875411155964504
24	6	8	0.808873897746952
25	3	9	0.993783539244907
26	10	8	0.283326074085345
27	7	5	0.237779964563244
28	6	5	0.384039341509546
29	3	10	0.997239675909251
30	9	5	0.0680446654477976
31	10	8	0.283326074085345
32	6	5	0.384039341509546
33	10	9	0.412591746766543
34	6	6	0.554368561647248
35	6	7	0.699381158288776
36	10	8	0.283326074085345
37	3	7	0.970402927255425
38	6	5	0.384039341509546
39	10	8	0.283326074085345
40	9	5	0.0680446654477976
41	10	6	0.0838620437646487
42	10	6	0.0838620437646487
43	6	8	0.808873897746952
44	6	7	0.699381158288776
45	6	11	0.962554145809952
46	6	7	0.699381158288776
47	3	5	0.875411155964504
48	7	4	0.110632289031905
49	4	6	0.848876443520073
50	3	10	0.997239675909251
51	5	4	0.371163062214196
52	8	5	0.133319433354692
53	6	6	0.554368561647248
54	7	10	0.869984726823227
55	3	5	0.875411155964504
56	6	3	0.0838876908414425
57	3	9	0.993783539244907
58	7	10	0.869984726823227
59	10	8	0.283326074085345
60	5	1	0.00365754781718397
61	7	6	0.393697212765819
62	4	6	0.848876443520073
63	6	3	0.0838876908414425
64	8	6	0.255978913724598
65	7	5	0.237779964563244
66	7	4	0.110632289031905
67	6	5	0.384039341509546
68	6	6	0.554368561647248
69	6	3	0.0838876908414425
70	4	7	0.918307570483569
71	7	8	0.686723475399702
72	7	5	0.237779964563244
73	3	7	0.970402927255425
74	9	7	0.270863070862598
75	10	9	0.412591746766543
76	6	7	0.699381158288776
77	6	7	0.699381158288776
78	6	7	0.699381158288776
79	5	4	0.371163062214196
80	6	3	0.0838876908414425
81	3	10	0.997239675909251
82	3	9	0.993783539244907
83	5	4	0.371163062214196
84	7	10	0.869984726823227
85	5	3	0.184711543839842
86	9	10	0.66729298413187
87	5	1	0.00365754781718397
88	6	6	0.554368561647248
89	6	6	0.554368561647248
90	3	5	0.875411155964504
91	5	3	0.184711543839842
92	6	6	0.554368561647248
93	7	5	0.237779964563244
94	6	5	0.384039341509546
95	3	6	0.938084737074122
96	6	11	0.962554145809952
97	7	8	0.686723475399702
98	8	2	0.00109500112921435
99	9	10	0.66729298413187
100	7	10	0.869984726823227
