CHROM	POS	WEIR_AND_COCKERHAM_FST	locus.length	pop0.samples	pop1.samples
dDocent_Contig_10000	87	-0.023718	190	8	15
dDocent_Contig_10003	31	-0.00578334	190	20	27
dDocent_Contig_10005	51	0.0319773	190	11	21
dDocent_Contig_10007	123	0.142327	190	9	21
dDocent_Contig_1001	79	0.311717	190	10	14
dDocent_Contig_10010	12	0.0552467	190	16	11
dDocent_Contig_10011	159	-0.012185	190	14	24
dDocent_Contig_10014	137	0.00574306	190	18	22
dDocent_Contig_10018	49	0.0423453	190	9	18
dDocent_Contig_10019	13	0	190	19	26
dDocent_Contig_1002	9	0.069231	190	21	29
dDocent_Contig_10020	134	0.134662	190	21	29
dDocent_Contig_10022	85	0.633094	190	6	2
dDocent_Contig_10023	8	0.0316914	190	19	25
dDocent_Contig_10024	13	0.261578	190	20	26
dDocent_Contig_10027	18	0.0856749	190	21	29
dDocent_Contig_10031	31	0.0625	190	9	9
dDocent_Contig_10037	38	0.13692	190	21	29
dDocent_Contig_10038	57	-0.0224833	190	12	25
dDocent_Contig_1004	46	0.299108	190	21	29
dDocent_Contig_10041	116	0.147589	190	5	10
dDocent_Contig_10042	9	0	190	11	16
dDocent_Contig_10044	51	0	190	17	15
dDocent_Contig_10045	43	0.486631	190	8	6
dDocent_Contig_10049	31	-0.00957354	190	21	29
dDocent_Contig_10052	74	0.0414134	190	16	19
dDocent_Contig_10056	87	0	190	5	14
dDocent_Contig_10058	149	-0.0126354	190	18	19
dDocent_Contig_10061	43	0	190	8	5
dDocent_Contig_10067	29	0	190	20	27
dDocent_Contig_1007	30	0.00808388	190	16	25
dDocent_Contig_10071	167	0.236465	190	15	16
dDocent_Contig_10072	110	0.0438021	190	11	10
dDocent_Contig_10074	130	0.0624446	190	21	29
dDocent_Contig_10075	20	0.01	190	10	11
dDocent_Contig_10076	79	0.178833	190	8	11
dDocent_Contig_10077	115	0.0680522	190	7	6
dDocent_Contig_10078	76	0	190	7	5
dDocent_Contig_10082	174	-0.00679999	190	13	16
dDocent_Contig_10086	11	0.583839	190	12	15
dDocent_Contig_10087	86	0.0376812	190	21	29
dDocent_Contig_10090	143	-0.000575342	190	21	29
dDocent_Contig_1010	48	0.155194	190	14	16
dDocent_Contig_10105	21	0.133438	190	11	17
dDocent_Contig_10108	65	0	190	11	15
dDocent_Contig_10109	82	-0.00852992	190	21	29
dDocent_Contig_1011	39	0.0210674	190	18	29
dDocent_Contig_10111	44	0.51915	190	7	16
dDocent_Contig_10112	84	0.00414041	190	12	11
dDocent_Contig_10115	78	0.243156	190	14	22
dDocent_Contig_10118	37	-0.00224278	190	10	22
dDocent_Contig_10119	47	0.0126968	190	19	28
dDocent_Contig_10123	62	-0.00580699	190	16	20
dDocent_Contig_1013	37	-0.00824567	190	21	29
dDocent_Contig_10130	21	0.0583104	190	9	14
dDocent_Contig_10132	35	-0.00478916	190	21	29
dDocent_Contig_10133	30	-0.0406339	190	11	14
dDocent_Contig_10134	23	0.139244	190	11	17
dDocent_Contig_10136	115	0.0607735	190	7	15
dDocent_Contig_10139	30	0.0304034	190	16	15
dDocent_Contig_1014	27	-0.00989347	190	15	23
dDocent_Contig_10143	43	0.0573296	190	21	29
dDocent_Contig_10146	24	0.0833333	190	7	7
dDocent_Contig_10147	66	0.211183	190	21	29
dDocent_Contig_10150	18	0.0024431	190	20	22
dDocent_Contig_10152	47	-0.0775142	190	5	15
dDocent_Contig_10156	19	0.172444	190	12	21
dDocent_Contig_10159	27	0	190	6	14
dDocent_Contig_1016	23	-0.00816131	190	5	12
dDocent_Contig_10161	76	0.0570342	190	6	4
dDocent_Contig_10164	40	0.50957	190	15	23
dDocent_Contig_10166	17	0.0385345	190	9	17
dDocent_Contig_10171	12	0.133333	190	6	3
dDocent_Contig_10172	23	0.0809088	190	20	25
dDocent_Contig_10173	52	0.334547	190	21	29
dDocent_Contig_10175	165	0.00103472	190	11	20
dDocent_Contig_10176	50	0.00573946	190	20	25
dDocent_Contig_10179	78	-0.00436663	190	17	24
dDocent_Contig_10180	39	0	190	18	28
dDocent_Contig_10186	30	0.0349518	190	10	19
dDocent_Contig_1019	28	0.0761951	190	16	11
dDocent_Contig_10193	115	0	190	5	2
dDocent_Contig_102	17	0	190	20	28
dDocent_Contig_1020	66	0.205507	190	9	12
dDocent_Contig_10201	26	0.0395028	190	20	28
dDocent_Contig_10202	29	-0.0648733	190	4	17
dDocent_Contig_10205	44	0.189593	190	8	12
dDocent_Contig_10207	171	-0.134904	190	5	2
dDocent_Contig_10211	47	-0.0121269	190	7	6
dDocent_Contig_10212	145	0.226714	190	5	10
dDocent_Contig_10213	32	0.14311	190	10	14
dDocent_Contig_10214	10	0.00992184	190	18	11
dDocent_Contig_10216	65	-0.0755556	190	12	4
dDocent_Contig_10222	121	0	190	6	2
dDocent_Contig_10223	14	0.0341285	190	21	29
dDocent_Contig_10230	101	0.410164	190	20	25
dDocent_Contig_10231	163	0.0326635	190	8	13
dDocent_Contig_10235	41	0	190	6	6
dDocent_Contig_10237	75	1	190	6	1
dDocent_Contig_10239	23	0.0123516	190	21	29
dDocent_Contig_1024	30	0.414309	190	7	12
dDocent_Contig_10240	25	0.263017	190	21	29
dDocent_Contig_10242	13	0	190	8	8
dDocent_Contig_10246	38	0.144752	190	12	16
dDocent_Contig_10248	104	0.0680522	190	7	6
dDocent_Contig_10249	119	-0.0477176	190	11	17
dDocent_Contig_10250	59	0.100147	190	21	26
dDocent_Contig_10251	152	0.0302589	190	21	29
dDocent_Contig_10256	38	0.109293	190	7	9
dDocent_Contig_10258	16	0.026656	190	11	19
dDocent_Contig_10259	170	0.00932962	190	14	18
dDocent_Contig_1026	16	-0.0090525	190	8	7
dDocent_Contig_10261	32	0.0250142	190	12	21
dDocent_Contig_10265	76	0.0450025	190	9	17
dDocent_Contig_10268	8	0.477848	190	21	29
dDocent_Contig_10269	40	-0.0209556	190	18	28
dDocent_Contig_10270	55	0.0945962	190	21	29
dDocent_Contig_10273	39	-0.0274799	190	9	14
dDocent_Contig_10277	25	0.0370578	190	5	7
dDocent_Contig_10278	44	0	190	19	28
dDocent_Contig_1028	47	0.0232558	190	15	21
dDocent_Contig_10287	32	0.0199697	190	17	13
dDocent_Contig_1029	185	0.141017	190	8	22
dDocent_Contig_10292	11	-0.0320339	190	18	13
dDocent_Contig_10294	48	-0.00328558	190	21	29
dDocent_Contig_10295	8	0.0833333	190	16	16
dDocent_Contig_10297	13	0.492096	190	14	7
dDocent_Contig_10302	36	-0.0740741	190	6	3
