Locus,H,FST,p,quantile
1,0.0409135,-0.0125904,0.136944,0.86305622
2,0.53515762,0.12251367,0.34040733,0.65959267
3,0,0,-1,-1
4,0.28181673,-0.017149499,0.082575847,0.91742415
5,0.12131173,0.14819997,0.10972062,0.10972062
6,0.12498316,0.057142857,0.40941293,0.59058707
7,0,0,-1,-1
8,0.073334376,-0.026871282,0.033606433,0.96639357
9,0.054468226,0.010600707,0.37704055,0.62295945
10,0.09117795,0.044523728,0.44837418,0.55162582
11,0.50964912,0.018529864,0.27624504,0.72375496
12,0.37218441,0.018481318,0.26880781,0.73119219
13,0.043735947,-0.020107896,0.067986917,0.93201308
14,0.49211222,0.02951679,0.4129409,0.5870591
15,0.34864689,-0.01789636,0.078382236,0.92161776
16,0.098484718,0.05586919,0.49676087,0.49676087
17,0.051158009,-0.030674847,0.020624818,0.97937518
18,0.022913551,-0.012501291,0.15187876,0.84812124
19,0.12124967,-0.021300518,0.056288062,0.94371194
20,0.078311281,0.000966001,0.18931396,0.81068604
21,0.043899043,0.043259327,0.15112034,0.15112034
22,0.16183421,-0.016975894,0.079627821,0.92037218
23,0.14719401,-0.019441135,0.066863828,0.93313617
24,0.44561301,0.41413731,0.073223597,0.073223597
25,0.18930526,0.25266904,0.031775925,0.031775925
26,0.021162286,0.007668658,0.43625604,0.43625604
27,0.098484718,0.05586919,0.49676087,0.49676087
28,0.086239257,0.10089136,0.12612284,0.12612284
29,0.50543108,0.052313607,0.43190444,0.56809556
30,0.19482511,-0.021082487,0.053933631,0.94606637
31,0.039629764,0.008365391,0.47581408,0.52418592
32,0.042576923,0.038843722,0.17141916,0.17141916
33,0.14690824,0.092308851,0.43074929,0.43074929
34,0.074640152,0.062166963,0.27181857,0.27181857
35,0.51255477,0.091214564,0.49770459,0.49770459
36,0.56640338,0.23061738,0.30868791,0.69131209
37,0.023581197,0.010511055,0.39544274,0.39544274
38,0.37263273,0.019318958,0.2718506,0.7281494
39,0,0,-1,-1
40,0.49840534,-0.019065268,0.087672049,0.91232795
41,0.12618888,0.098786828,0.31114859,0.31114859
42,0.023295752,-0.001613243,0.34619557,0.65380443
43,0.11548554,0.1026031,0.25962988,0.25962988
44,0.044560514,0.034668957,0.22409403,0.22409403
45,0.049898291,0.039757922,0.22838802,0.22838802
46,0.022073382,-0.001444315,0.35493974,0.64506026
47,0.026305809,-0.002198268,0.32322283,0.67677717
48,0.56307415,0.20393907,0.24233986,0.75766014
49,0.16925841,0.164016,0.20954265,0.20954265
50,0.61163636,0.49425287,0.28070869,0.28070869
51,0.044982175,0.008154118,0.43335258,0.56664742
52,0.02625,0,0.36830347,0.63169653
53,0.62138256,0.38446645,0.2682415,0.7317585
54,0.13014165,-0.020907979,0.058419833,0.94158017
55,0.12963462,0.13034924,0.20016582,0.20016582
56,0.046161913,0.015355761,0.46616517,0.46616517
57,0.5894829,0.50476965,0.1558193,0.1558193
59,0.019885922,-0.005736636,0.27170825,0.72829175
60,0.57671766,0.34289426,0.40733428,0.40733428
61,0.19084559,0.10614525,0.49691514,0.50308486
62,0.19894546,-0.019382982,0.060681453,0.93931855
63,0.078976752,0.040357174,0.48683776,0.51316224
64,0.2131105,-0.007328448,0.12978717,0.87021283
65,0,0,-1,-1
66,0.12561552,0.061889251,0.44019417,0.55980583
67,0.098484718,0.05586919,0.49676087,0.49676087
68,0.34879737,0.37258097,0.082821023,0.082821023
69,0,0,-1,-1
70,0,0,-1,-1
71,0.049535166,0.004464624,0.34080478,0.65919522
72,0.078976752,0.040357174,0.48683776,0.51316224
73,0.28395833,0.20567376,0.30083355,0.30083355
74,0.059374298,0.024919216,0.47563679,0.52436321
75,0.17659091,0.027027027,0.2706382,0.7293618
76,0.1659679,-0.047233769,0.001332275,0.99866773
77,0.057392735,0.015331462,0.39561753,0.60438247
78,0.27734274,-0.036428376,0.010156554,0.98984345
79,0.044476373,0.032842728,0.24027044,0.24027044
80,0.29763989,-0.011863654,0.11909474,0.88090526
81,0.08644232,0.095270733,0.1526874,0.1526874
82,0.24186608,-0.01202844,0.10545609,0.89454391
83,0.23362637,0.20978363,0.18174841,0.18174841
84,0.44007541,0.000365294,0.22649235,0.77350765
85,0,0,-1,-1
86,0.019885922,-0.005736636,0.27170825,0.72829175
87,0.52190258,0.066809242,0.33841072,0.66158928
88,0.12840782,0.056114011,0.39578279,0.60421721
89,0.019885922,-0.005736636,0.27170825,0.72829175
90,0.035555556,-0.0875,1.81E-09,1
